Iteration	Posterior	Likelihood	Prior	age_extant	alpha_song	branch_rates	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	origin_time	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
4700	-86.29718	-93.17801	6.880832	254.5937	0.05966328	0.03582981	0.006647561	0.012368	0.0364818	0.0589457	0.148334	0.0127337	0.186204	0.0520811	0.0444803	0.014542	0.0105457	0.0327347	0.0853342	0.123887	0.0121236	0.169205	0.002122696	254.5937	4.50715e-11	1.00095e-05	0.0134463	3.98654	0.0468927	0.362278	0.00883978	0.153643	0.349131	0.0792152	0.008770257	0.2420335
4800	-87.05574	-86.63129	-0.4244449	670.3798	0.3483195	0.0004953602	0.003828033	0.00629843	0.265674	0.119813	0.0045105	0.0154291	0.0973772	0.0468653	0.0328769	0.0746967	0.00275698	0.0335427	0.0493057	0.0365753	0.0681069	0.146171	0.002253972	670.3798	0.0100182	0.142248	0.668706	3.17903	0.0705494	0.328733	0.0163354	0.16616	0.372433	0.0457885	0.006082005	0.3705968
4900	-75.36408	-81.29909	5.935013	249.0149	0.4686614	0.01419587	0.007562513	0.23689	0.197196	0.248736	0.0283345	0.0755442	0.00385924	0.00385117	0.00203477	0.0305478	0.13877	0.0089466	0.00660882	0.00197961	0.0123735	0.00432852	0.009737405	249.0149	0.0277369	0.230965	0.796055	2.94524	0.0221029	0.518833	0.00828751	0.0725398	0.31225	0.0659863	0.01729992	0.5628584
5000	-66.47741	-81.34675	14.86934	7.674611	1.611806	0.04369904	0.1019821	0.00396795	0.0377648	0.00217535	0.190322	0.0927174	0.0226002	0.0467425	0.0219435	0.0102724	0.129181	0.0314791	0.0881311	0.000979437	0.277102	0.0446208	0.01449397	7.674611	0.242089	0.606167	1.05636	2.09538	0.110281	0.397187	0.00211007	0.0992861	0.348902	0.0422338	0.1164761	0.1244373
5100	-77.4811	-83.24093	5.759823	102.4368	1.06911	0.001413706	0.02263497	0.0522026	0.00929926	0.0348507	0.000848021	0.00314684	0.114487	0.0841738	0.0371721	0.0826347	0.023908	0.339651	0.0198356	0.0314672	0.0965426	0.0697809	0.001749667	102.4368	0.150533	0.496582	1.01057	2.34231	0.0291768	0.380288	0.00316051	0.139088	0.370459	0.0778284	0.02438464	0.07175284
5200	-77.84578	-86.37636	8.530577	54.27718	0.4912372	0.009076541	0.04899159	0.0390574	0.128719	0.0328196	0.164291	0.0418686	0.00782674	0.144715	0.0233415	0.0455415	0.0505448	0.0653407	0.171122	0.0183595	0.00228037	0.0641724	0.0152595	54.27718	0.0317753	0.246157	0.813786	2.90828	0.0317467	0.477715	0.000998461	0.0775182	0.278004	0.134018	0.06425109	0.2374979
5300	-74.26982	-86.91316	12.64334	11.58224	2.107489	0.1110509	0.04654804	0.170963	0.0300038	0.0932448	0.0258428	0.0080915	0.0315484	0.0818146	0.0212773	0.00224827	0.0226221	0.0455665	0.0316444	0.0521942	0.274642	0.108296	0.04289188	11.58224	0.305777	0.665978	1.07246	1.95578	0.056641	0.475719	0.0307661	0.0783836	0.310344	0.0481466	0.08943992	0.4795608
5400	-63.86114	-79.01107	15.14993	2.799308	2.719385	0.05480989	0.1307583	0.153624	0.121668	0.043444	0.0848592	0.000462514	0.099631	0.0368994	0.00484734	0.0545034	0.0254766	0.0239128	0.158939	0.00104932	0.140446	0.0502368	0.04113117	2.799308	0.366316	0.714704	1.08073	1.83825	0.0253377	0.43243	0.0160612	0.155303	0.323077	0.0477907	0.1718895	0.2392884
5500	-69.26451	-83.52783	14.26332	1.987449	0.684474	0.1762253	-0.003526669	0.0388251	0.0376584	0.00336961	0.193711	0.0128693	0.0191517	0.20474	0.00425168	0.0569278	0.163524	0.054534	0.00498686	0.00726258	0.140473	0.0577142	0.2286521	1.987449	0.0708755	0.356112	0.918976	2.65404	0.0377274	0.461821	0.0139935	0.109797	0.327638	0.0490227	0.2251254	1.015665
5600	-72.0814	-84.73168	12.65028	17.62616	0.9251126	0.02863276	0.08344118	0.136507	0.135763	0.204645	0.0620972	0.00609967	0.13664	0.013685	0.00656511	0.0817414	0.0656609	0.00910953	0.078059	0.00106223	0.050719	0.0116469	0.03111302	17.62616	0.12178	0.453024	0.986391	2.4388	0.0622377	0.360564	0.0202337	0.111372	0.415876	0.0297169	0.1145542	0.2716009
5700	-64.29773	-77.94151	13.64378	4.739811	1.523103	0.02814372	0.1804191	0.0617597	0.198527	0.0689612	0.0542695	0.00360242	0.148635	0.0961147	9.56082e-05	0.0454581	0.00673765	0.0769392	0.0984813	0.00840889	0.110916	0.0210935	0.08435094	4.739811	0.22887	0.592357	1.05175	2.12702	0.0380528	0.45927	0.0126685	0.0808197	0.381697	0.0274913	0.26477	0.3185819
